Datasets,num_columns,num_rows,target_type,num_nan,num_float,num_int,perc_nan,Algorithm,Quality,Coverage,Support,WRAcc,Significance,Confidence,# of Subgroups,Length of Rules
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,sd,,0.0,0.0,0.0,,0.0,4.0,2.0
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,cn2_sd,-2.091017709027701,0.004530985378483583,9.852109977133253e-07,-9.95353222492275e-08,0.03809132697069303,9.852109977133253e-07,243.0,4.185185185185185
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,sd_map,1.5357839048178725,0.3045566993855239,0.0,0.0,1.1680535881958865e-59,0.0,255.0,4.015686274509804
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,dssd,1.686730481982582,0.1823078764663634,0.0,0.0,6.041981755196386e-67,0.0,6.0,4.015686274509804
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.54
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,a,,0.7521396158898676,0.2288207598097894,0.07708925599813622,1.2002472790449621e-35,0.7521396158898676,255.0,4.015686274509804
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,sd,-0.12159999999999993,0.01,0.008,-0.001216,,0.2,4.0,2.0
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,cn2_sd,-0.12733935477087452,0.03738181818181818,0.03277575757575757,-0.0016753260606060607,0.007495910010762314,0.5224727272727273,33.0,3.121212121212121
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,sd_map,-0.011999999999999966,0.25600000000000006,0.23423999999999995,-0.0016896000000000133,0.691478956177125,0.9096,10.0,1.6
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,dssd,-0.02159999999999999,0.16,0.14400000000000002,-0.003455999999999996,0.5308433878595394,0.8999999999999999,6.0,1.6
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.38
car,7,1728,Binary,4454.0,7,0,36.822,sd,0.2465277777777778,0.027777777777777776,0.013020833333333334,0.006847993827160495,,0.1171875,4.0,2.0
car,7,1728,Binary,4454.0,7,0,36.822,cn2_sd,-0.777928035730712,0.26603349673202614,0.04641544117647059,-0.012703113652868551,0.0828139259557915,0.16362989061365288,34.0,3.264705882352941
car,7,1728,Binary,4454.0,7,0,36.822,sd_map,0.08487654320987656,0.23148148148148145,0.0672582304526749,0.015817901234567906,0.21657109362149252,0.30709876543209874,9.0,1.3333333333333333
car,7,1728,Binary,4454.0,7,0,36.822,dssd,0.08998842592592594,0.18055555555555555,0.051408179012345685,0.011284722222222224,0.23548595543808357,0.3122106481481482,6.0,1.3333333333333333
car,7,1728,Binary,4454.0,7,0,36.822,nnmeef,0.4281481481481481,0.0022453703703703702,0.0014004629629629632,0.0009014917695473251,0.18008656504875895,0.6503703703703704,50.0,4.88
car,7,1728,Binary,4454.0,7,0,36.822,a,,0.328125,0.109375,0.03530092592592593,2.1654600903015362e-06,0.328125,2.0,1.0
cmc,10,1473,Binary,3262.0,7,3,22.145,sd,,0.0,0.0,0.0,,0.0,4.0,2.0
cmc,10,1473,Binary,3262.0,7,3,22.145,cn2_sd,-0.5534988659562209,0.0204188208261528,0.0043779483698017305,-0.00023811906747517623,0.012990301457702597,0.06003958699773997,78.0,3.8333333333333335
cmc,10,1473,Binary,3262.0,7,3,22.145,sd_map,0.014361675314059515,0.23548879837067208,0.06288187372708758,0.009645098535347042,0.09138926921955084,0.24043092174990477,8.0,1.25
cmc,10,1473,Binary,3262.0,7,3,22.145,dssd,-0.004618062471957368,0.15587236931432452,0.039375424304141204,0.004137475233082104,0.0335596101752175,0.22145118396388783,5.0,1.25
cmc,10,1473,Binary,3262.0,7,3,22.145,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.78
cmc,10,1473,Binary,3262.0,7,3,22.145,a,,0.2874995211278397,0.12287847929395791,0.026342460279601743,0.0010422656968211547,0.2874995211278397,2.0,1.0
contact-lenses,5,24,Binary,12.0,2,3,10.0,sd,-0.20833333333333334,0.16666666666666666,0.0,-0.034722222222222224,,0.0,3.0,1.6666666666666667
contact-lenses,5,24,Binary,12.0,2,3,10.0,cn2_sd,-0.7172485631342982,0.8333333333333333,0.16666666666666669,-0.0069444444444444475,0.0014508616333606355,0.19791666666666669,2.0,1.0
contact-lenses,5,24,Binary,12.0,2,3,10.0,sd_map,-0.01136363636363638,0.29166666666666663,0.0606060606060606,-0.00015782828282828637,0.4185926653061891,0.196969696969697,11.0,1.7272727272727273
contact-lenses,5,24,Binary,12.0,2,3,10.0,dssd,-0.05208333333333335,0.234375,0.031249999999999997,-0.017578125000000003,0.3732155464572981,0.15625,8.0,1.7272727272727273
contact-lenses,5,24,Binary,12.0,2,3,10.0,nnmeef,0.7916666666666665,0.05166666666666666,0.05166666666666666,0.04090277777777777,0.14048232779131095,1.0,50.0,2.46
contact-lenses,5,24,Binary,12.0,2,3,10.0,a,,0.3888888888888889,0.1527777777777778,0.06597222222222222,0.29684926933544875,0.3888888888888889,3.0,1.3333333333333333
credit-a,16,690,Binary,762.0,12,4,6.902,sd,0.4449275362318841,0.0018115942028985507,0.0010869565217391304,8.139046418819575e-05,,0.1875,4.0,2.0
credit-a,16,690,Binary,762.0,12,4,6.902,cn2_sd,-0.21656845916517653,0.036894409937888194,0.01846790890269151,-0.002011162120802953,0.39210175764996796,0.13729718004562724,35.0,3.4
credit-a,16,690,Binary,762.0,12,4,6.902,sd_map,-0.09677480585518035,0.18129117259552044,0.08388669301712781,-0.01674304481487846,0.06376815811747734,0.4582976579129356,110.0,2.3545454545454545
credit-a,16,690,Binary,762.0,12,4,6.902,dssd,-0.11785815594094343,0.1332283133795421,0.05979836168872088,-0.014153006462532225,0.06203482612947919,0.43721430782717247,69.0,2.3545454545454545
credit-a,16,690,Binary,762.0,12,4,6.902,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.2
dermatology,35,366,Binary,2620.0,34,1,20.453,sd,-0.5,0.006147540983606557,0.0020491803278688526,-0.003073770491803279,,0.08333333333333333,4.0,2.0
dermatology,35,366,Binary,2620.0,34,1,20.453,cn2_sd,-0.24059937260978687,0.4309653916211293,0.3469945355191256,-0.012143290831815434,0.00015452403658193674,0.46117791272541103,15.0,2.7333333333333334
dermatology,35,366,Binary,2620.0,34,1,20.453,sd_map,0.0927807459494664,0.16096459966737942,0.1465906391066762,0.012453472717193314,0.18799964817860673,0.9261140792827998,23.0,1.2173913043478262
dermatology,35,366,Binary,2620.0,34,1,20.453,dssd,0.09980289781339553,0.135030198446937,0.12496404946793213,0.01243888409548461,0.18359346714321573,0.933136231146729,19.0,1.2173913043478262
dermatology,35,366,Binary,2620.0,34,1,20.453,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.2
glass,10,214,Binary,127.0,10,0,5.935,sd,-0.0794392523364486,0.003115264797507788,0.0,-0.0002474743063440766,,0.0,3.0,1.6666666666666667
glass,10,214,Binary,127.0,10,0,5.935,cn2_sd,-0.2987416607503395,0.24018691588785046,0.01588785046728972,-0.0031924185518385885,0.042356093839516544,0.01588785046728972,5.0,2.6
glass,10,214,Binary,127.0,10,0,5.935,sd_map,-0.002534727666015983,0.2121020117218438,0.01655314430540155,-0.00029608092483837537,0.5898518870620767,0.07690452467043261,59.0,2.1864406779661016
glass,10,214,Binary,127.0,10,0,5.935,dssd,-0.02310611961972212,0.14922118380062305,0.008099688473520248,-0.0037543308003610202,0.6047349308832574,0.05633313271672648,30.0,2.1864406779661016
glass,10,214,Binary,127.0,10,0,5.935,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.28
hayes-roth_test,5,28,Binary,1.0,5,0,0.714,sd,-0.4642857142857143,0.026785714285714284,0.0,-0.012436224489795918,,0.0,4.0,2.0
hayes-roth_test,5,28,Binary,1.0,5,0,0.714,cn2_sd,-0.9480301391286123,0.6607142857142857,0.35714285714285715,0.05038265306122448,0.34997074430366115,0.621031746031746,2.0,1.0
hayes-roth_test,5,28,Binary,1.0,5,0,0.714,sd_map,-0.1392857142857143,0.24999999999999997,0.08928571428571429,-0.026785714285714298,0.5065221914686419,0.325,6.0,1.5
hayes-roth_test,5,28,Binary,1.0,5,0,0.714,dssd,-0.1392857142857143,0.24999999999999997,0.08928571428571429,-0.026785714285714298,0.5065221914686419,0.325,6.0,1.5
hayes-roth_test,5,28,Binary,1.0,5,0,0.714,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.38
hayes-roth_test,5,28,Binary,1.0,5,0,0.714,a,,0.39999999999999997,0.14285714285714285,-0.02295918367346941,0.5822532617097512,0.39999999999999997,3.0,1.0
hayes-roth_train,5,132,Binary,30.0,5,0,4.545,sd,-0.08636363636363636,0.12626262626262627,0.03787878787878788,-0.010904499540863177,,0.09999999999999999,3.0,1.6666666666666667
hayes-roth_train,5,132,Binary,30.0,5,0,4.545,cn2_sd,-0.41182929617499947,0.2168560606060606,0.09185606060606061,0.008070764462809913,0.00043277107488630623,0.26099706744868034,8.0,2.25
hayes-roth_train,5,132,Binary,30.0,5,0,4.545,sd_map,-0.10227272727272727,0.26515151515151514,0.07765151515151515,-0.024793388429752067,0.34464936502336896,0.28409090909090906,4.0,1.0
hayes-roth_train,5,132,Binary,30.0,5,0,4.545,dssd,-0.10227272727272727,0.26515151515151514,0.07765151515151515,-0.024793388429752067,0.34464936502336896,0.28409090909090906,4.0,1.0
hayes-roth_train,5,132,Binary,30.0,5,0,4.545,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.56
hayes-roth_train,5,132,Binary,30.0,5,0,4.545,a,,0.38636363636363635,0.12878787878787878,0.0,1.0,0.38636363636363635,1.0,1.0
ionosphere,35,351,Binary,0.0,34,1,0.0,sd,0.4118589743589744,0.06837606837606838,0.05128205128205128,0.026736795967565195,,0.375,4.0,2.0
ionosphere,35,351,Binary,0.0,34,1,0.0,cn2_sd,-0.21499597379977164,0.20072520072520073,0.07873607873607873,0.006680878475750275,0.2806640671762792,0.3387480117546503,11.0,3.0
ionosphere,35,351,Binary,0.0,34,1,0.0,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.66
iris,5,150,Binary,50.0,5,0,6.666999999999999,sd,,0.0,0.0,0.0,,0.0,3.0,1.6666666666666667
iris,5,150,Binary,50.0,5,0,6.666999999999999,cn2_sd,-0.3538394191185081,0.1977777777777778,0.05555555555555555,-0.01037037037037037,1.7485531989643878e-16,0.05555555555555555,6.0,2.6666666666666665
iris,5,150,Binary,50.0,5,0,6.666999999999999,sd_map,-0.028638564238949386,0.3195555555555556,0.09555555555555555,-0.010962962962962952,0.7020417000113196,0.3046947690943839,15.0,2.1333333333333333
iris,5,150,Binary,50.0,5,0,6.666999999999999,dssd,-0.006549450549450525,0.25666666666666665,0.08533333333333334,-0.00022222222222221464,0.8598522894788617,0.32678388278388276,10.0,2.1333333333333333
iris,5,150,Binary,50.0,5,0,6.666999999999999,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.2
iris,5,150,Binary,50.0,5,0,6.666999999999999,a,,0.31585979304873313,0.14380952380952383,-0.007619047619047609,0.6046928998310607,0.31585979304873313,7.0,1.7142857142857142
pima-indians,9,768,Binary,0.0,8,1,0.0,sd,,0.0,0.0,0.0,,0.0,4.0,2.0
pima-indians,9,768,Binary,0.0,8,1,0.0,cn2_sd,-0.47601423255179853,0.025086805555555557,0.016550925925925924,0.0002183702256944444,0.10573650278596743,0.08855134955216654,45.0,3.933333333333333
pima-indians,9,768,Binary,0.0,8,1,0.0,sd_map,-0.21307965943340978,0.1934154992816092,0.08956312859195402,-0.03635842041951028,0.00920669407839308,0.43796200723325684,116.0,2.836206896551724
pima-indians,9,768,Binary,0.0,8,1,0.0,dssd,-0.21550941714125962,0.15986328125,0.0734375,-0.030640157063802083,0.013108623840450733,0.435532249525407,80.0,2.836206896551724
pima-indians,9,768,Binary,0.0,8,1,0.0,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.8
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,sd,0.0341978144844996,0.06236951983298539,0.02374739039665971,0.0021329012687357554,,0.09518828451882845,4.0,2.0
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,cn2_sd,-0.5284569978235923,0.1830353090678043,0.059839339203049825,-0.003592521559487777,0.1613314751763774,0.3306515765619663,46.0,3.5217391304347827
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,sd_map,0.0862703970637977,0.20869370712794513,0.08425290784372205,0.01192899263863041,0.06562409480793734,0.43282572065461195,14.0,1.5
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,dssd,0.11344203090654029,0.1315240083507307,0.056831361633031784,0.011251016359083356,0.07620898997331578,0.45999735449735446,9.0,1.5
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,nnmeef,0.6534446764091858,0.0040709812108559494,0.0040709812108559494,0.0026601609999956422,0.11025117057313533,1.0,50.0,4.66
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,a,,0.3839167797376753,0.13361169102296452,0.013149349941815106,0.04657128351025618,0.3839167797376753,5.0,1.0
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,sd,-0.33873595857699174,0.11838340486409156,0.000715307582260372,-0.04010071612624616,,0.0015105740181268882,4.0,2.0
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,cn2_sd,-0.1155741736765078,0.13072246065808296,0.04470672389127325,-0.0003635379379084338,0.006785460226865085,0.3994266923663952,16.0,1.9375
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,sd_map,0.6111223511258658,0.18886742480529356,0.17824416026386253,0.11312677917934788,3.94664530373975e-24,0.9559006057753651,491.0,4.3991853360488795
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,dssd,0.639346356492045,0.11802575107296137,0.11608198046899297,0.07538926801036108,1.4080882159262678e-23,0.9841246111415444,92.0,4.3991853360488795
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.12
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,a,,0.9554067974119874,0.17956145573238314,0.11393740415313365,1.832668121590822e-24,0.9554067974119874,483.0,4.364389233954451
